"Label (Grouping)","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error"
"        Per 1,000 women 15 to 19 years old","8","±2","(X)","(X)","9","±2","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","76","±4","(X)","(X)","90","±3","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","30","±2","(X)","(X)","32","±2","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","73,164","±2,771","73,164","(X)","138,107","±3,600","138,107","(X)"
"        Grandparents responsible for grandchildren","21,916","±1,423","30.0%","±1.5","42,227","±1,816","30.6%","±1.1"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,279","±522","5.8%","±0.7","8,279","±819","6.0%","±0.5"
"            1 or 2 years","5,197","±809","7.1%","±1.1","9,138","±718","6.6%","±0.5"
"            3 or 4 years","3,586","±513","4.9%","±0.7","7,245","±801","5.2%","±0.6"
"            5 or more years","8,854","±813","12.1%","±1.0","17,565","±1,523","12.7%","±1.0"
"    Number of grandparents responsible for own grandchildren under 18 years","21,916","±1,423","21,916","(X)","42,227","±1,816","42,227","(X)"
"        Who are female","13,317","±938","60.8%","±1.6","25,618","±1,172","60.7%","±1.3"
"        Who are married","15,717","±1,375","71.7%","±3.0","30,695","±1,780","72.7%","±1.8"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","948,174","±4,813","948,174","(X)","1,753,707","±6,674","1,753,707","(X)"
"        Nursery school, preschool","55,409","±1,505","5.8%","±0.2","112,100","±2,236","6.4%","±0.1"
"        Kindergarten","45,088","±1,487","4.8%","±0.2","90,892","±2,422","5.2%","±0.1"
"        Elementary school (grades 1-8)","386,228","±2,130","40.7%","±0.3","729,077","±3,426","41.6%","±0.2"
"        High school (grades 9-12)","196,618","±2,009","20.7%","±0.2","358,917","±2,866","20.5%","±0.1"
"        College or graduate school","264,831","±3,572","27.9%","±0.3","462,721","±5,186","26.4%","±0.2"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","2,944,830","±938","2,944,830","(X)","5,199,771","±913","5,199,771","(X)"
"        Less than 9th grade","101,405","±2,814","3.4%","±0.1","181,372","±4,229","3.5%","±0.1"
"        9th to 12th grade, no diploma","159,380","±3,747","5.4%","±0.1","250,031","±4,122","4.8%","±0.1"
"        High school graduate (includes equivalency)","667,341","±7,612","22.7%","±0.3","1,133,689","±9,586","21.8%","±0.2"
"        Some college, no degree","737,552","±6,131","25.0%","±0.2","1,201,507","±8,273","23.1%","±0.2"
"        Associate's degree","266,108","±4,300","9.0%","±0.1","525,934","±5,588","10.1%","±0.1"
"        Bachelor's degree","627,360","±6,095","21.3%","±0.2","1,183,949","±8,446","22.8%","±0.2"
"        Graduate or professional degree","385,684","±4,750","13.1%","±0.2","723,289","±8,116","13.9%","±0.2"
"        High school graduate or higher","2,684,045","±4,796","91.1%","±0.2","4,768,368","±5,976","91.7%","±0.1"
"        Bachelor's degree or higher","1,013,044","±7,943","34.4%","±0.3","1,907,238","±12,053","36.7%","±0.2"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","3,305,619","±627","3,305,619","(X)","5,802,612","±1,783","5,802,612","(X)"
"        Civilian veterans","273,946","±3,618","8.3%","±0.1","517,912","±5,610","8.9%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","4,135,531","±627","4,135,531","(X)","7,397,932","±1,687","7,397,932","(X)"
"        With a disability","592,689","±6,295","14.3%","±0.2","941,827","±8,672","12.7%","±0.1"
"    Under 18 years","865,468","±313","865,468","(X)","1,652,165","±360","1,652,165","(X)"
"        With a disability","41,250","±1,828","4.8%","±0.2","69,537","±2,335","4.2%","±0.1"
"    18 to 64 years","2,545,964","±857","2,545,964","(X)","4,605,027","±1,908","4,605,027","(X)"
"        With a disability","297,031","±4,407","11.7%","±0.2","478,994","±6,536","10.4%","±0.1"
"    65 years and over","724,099","±629","724,099","(X)","1,140,740","±731","1,140,740","(X)"
"        With a disability","254,408","±3,014","35.1%","±0.4","393,296","±3,801","34.5%","±0.3"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","4,135,390","±1,600","4,135,390","(X)","7,428,623","±2,092","7,428,623","(X)"
"        Same house","3,449,110","±8,842","83.4%","±0.2","6,168,820","±13,683","83.0%","±0.2"
"        Different house (in the U.S. or abroad)","686,280","±9,139","16.6%","±0.2","1,259,803","±13,836","17.0%","±0.2"
"            Different house in the U.S.","663,566","±8,918","16.0%","±0.2","1,201,405","±13,656","16.2%","±0.2"
"                Same county","374,625","±7,374","9.1%","±0.2","725,669","±11,829","9.8%","±0.2"
"                Different county","288,941","±6,609","7.0%","±0.2","475,736","±7,000","6.4%","±0.1"
"                    Same state","149,653","±4,378","3.6%","±0.1","231,053","±5,618","3.1%","±0.1"
"                    Different state","139,288","±4,887","3.4%","±0.1","244,683","±4,748","3.3%","±0.1"
"            Abroad","22,714","±1,691","0.5%","±0.1","58,398","±3,221","0.8%","±0.1"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","4,176,346","*****","4,176,346","(X)","7,512,465","*****","7,512,465","(X)"
"        Native","3,766,479","±6,470","90.2%","±0.2","6,422,805","±8,722","85.5%","±0.1"
"            Born in United States","3,715,110","±6,472","89.0%","±0.2","6,285,365","±8,817","83.7%","±0.1"
"                State of residence","1,916,201","±11,452","45.9%","±0.3","3,504,436","±12,224","46.6%","±0.2"
"                Different state","1,798,909","±10,454","43.1%","±0.3","2,780,929","±12,860","37.0%","±0.2"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","51,369","±2,279","1.2%","±0.1","137,440","±3,138","1.8%","±0.1"
"        Foreign born","409,867","±6,474","9.8%","±0.2","1,089,660","±8,722","14.5%","±0.1"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","409,867","±6,474","409,867","(X)","1,089,660","±8,722","1,089,660","(X)"
"        Naturalized U.S. citizen","192,385","±4,278","46.9%","±0.9","522,603","±5,486","48.0%","±0.5"
"        Not a U.S. citizen","217,482","±5,591","53.1%","±0.9","567,057","±7,585","52.0%","±0.5"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","461,236","±6,475","461,236","(X)","1,227,100","±8,817","1,227,100","(X)"
"        Native","51,369","±2,279","51,369","(X)","137,440","±3,138","137,440","(X)"
"            Entered 2010 or later","10,354","±1,179","20.2%","±1.9","28,555","±1,785","20.8%","±1.2"
"            Entered before 2010","41,015","±1,901","79.8%","±1.9","108,885","±2,860","79.2%","±1.2"
"        Foreign born","409,867","±6,474","409,867","(X)","1,089,660","±8,722","1,089,660","(X)"
"            Entered 2010 or later","90,088","±3,893","22.0%","±0.8","291,644","±5,157","26.8%","±0.4"
"            Entered before 2010","319,779","±5,270","78.0%","±0.8","798,016","±6,873","73.2%","±0.4"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","409,867","±6,474","409,867","(X)","1,089,651","±8,722","1,089,651","(X)"
"        Europe","62,671","±2,466","15.3%","±0.5","158,021","±3,721","14.5%","±0.3"
"        Asia","138,215","±2,804","33.7%","±0.6","479,498","±4,844","44.0%","±0.4"
"        Africa","15,967","±1,368","3.9%","±0.3","69,584","±2,816","6.4%","±0.2"
"        Oceania","8,063","±761","2.0%","±0.2","21,354","±1,698","2.0%","±0.2"
"        Latin America","170,118","±4,030","41.5%","±0.7","314,142","±4,894","28.8%","±0.4"
"        Northern America","14,833","±1,118","3.6%","±0.3","47,052","±1,701","4.3%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","3,948,032","±353","3,948,032","(X)","7,057,853","±432","7,057,853","(X)"
"        English only","3,344,983","±8,843","84.7%","±0.2","5,648,036","±11,174","80.0%","±0.2"
"        Language other than English","603,049","±8,835","15.3%","±0.2","1,409,817","±11,219","20.0%","±0.2"
"            Speak English less than ""very well""","216,654","±5,436","5.5%","±0.1","535,524","±7,102","7.6%","±0.1"
"        Spanish","349,549","±5,859","8.9%","±0.1","602,058","±6,327","8.5%","±0.1"
"            Speak English less than ""very well""","128,303","±3,934","3.2%","±0.1","235,885","±4,567","3.3%","±0.1"
"        Other Indo-European languages","100,894","±3,620","2.6%","±0.1","285,110","±7,218","4.0%","±0.1"
"            Speak English less than ""very well""","24,659","±1,762","0.6%","±0.1","79,347","±3,331","1.1%","±0.1"
"        Asian and Pacific Islander languages","125,149","±2,801","3.2%","±0.1","427,572","±5,200","6.1%","±0.1"
"            Speak English less than ""very well""","55,482","±1,724","1.4%","±0.1","186,409","±4,233","2.6%","±0.1"
"        Other languages","27,457","±2,617","0.7%","±0.1","95,077","±3,935","1.3%","±0.1"
"            Speak English less than ""very well""","8,210","±1,264","0.2%","±0.1","33,883","±2,162","0.5%","±0.1"
"ANCESTRY","","","","","","","",""
"    Total population","4,176,346","*****","4,176,346","(X)","7,512,465","*****","7,512,465","(X)"
"        American","194,680","±5,103","4.7%","±0.1","285,696","±6,113","3.8%","±0.1"
"        Arab","19,622","±2,116","0.5%","±0.1","36,139","±2,796","0.5%","±0.1"
"        Czech","18,316","±1,398","0.4%","±0.1","29,908","±1,844","0.4%","±0.1"
"        Danish","39,225","±2,148","0.9%","±0.1","64,853","±2,479","0.9%","±0.1"
"        Dutch","74,960","±2,689","1.8%","±0.1","131,299","±3,721","1.7%","±0.1"
"        English","478,043","±6,325","11.4%","±0.2","772,527","±9,087","10.3%","±0.1"
"        French (except Basque)","118,229","±3,595","2.8%","±0.1","209,376","±4,141","2.8%","±0.1"
"        French Canadian","26,961","±1,515","0.6%","±0.1","51,939","±2,466","0.7%","±0.1"
"        German","721,995","±7,895","17.3%","±0.2","1,177,478","±10,920","15.7%","±0.1"
"        Greek","14,155","±1,241","0.3%","±0.1","25,994","±2,190","0.3%","±0.1"
"        Hungarian","14,642","±1,174","0.4%","±0.1","22,331","±1,431","0.3%","±0.1"
"        Irish","460,088","±6,909","11.0%","±0.2","759,024","±9,625","10.1%","±0.1"
"        Italian","154,010","±4,388","3.7%","±0.1","255,671","±4,638","3.4%","±0.1"
"        Lithuanian","5,917","±666","0.1%","±0.1","12,419","±1,144","0.2%","±0.1"
"        Norwegian","141,749","±3,887","3.4%","±0.1","356,334","±6,899","4.7%","±0.1"
"        Polish","68,620","±2,731","1.6%","±0.1","129,944","±3,480","1.7%","±0.1"
"        Portuguese","19,121","±1,408","0.5%","±0.1","25,814","±1,620","0.3%","±0.1"
"        Russian","43,481","±2,497","1.0%","±0.1","84,367","±3,481","1.1%","±0.1"
"        Scotch-Irish","50,957","±2,335","1.2%","±0.1","84,650","±2,962","1.1%","±0.1"
"        Scottish","116,471","±3,030","2.8%","±0.1","199,129","±4,417","2.7%","±0.1"
"        Slovak","3,271","±585","0.1%","±0.1","7,112","±674","0.1%","±0.1"
"        Subsaharan African","24,084","±2,197","0.6%","±0.1","99,605","±4,317","1.3%","±0.1"
"        Swedish","97,651","±2,594","2.3%","±0.1","209,559","±4,275","2.8%","±0.1"
"        Swiss","27,587","±1,730","0.7%","±0.1","33,073","±1,218","0.4%","±0.1"
"        Ukrainian","22,117","±2,334","0.5%","±0.1","62,648","±3,811","0.8%","±0.1"
"        Welsh","41,791","±2,000","1.0%","±0.1","70,215","±2,321","0.9%","±0.1"
"        West Indian (excluding Hispanic origin groups)","5,151","±923","0.1%","±0.1","14,011","±1,297","0.2%","±0.1"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","1,642,579","±3,451","1,642,579","(X)","2,905,822","±5,585","2,905,822","(X)"
"        With a computer","1,545,561","±4,108","94.1%","±0.1","2,755,772","±6,534","94.8%","±0.1"
"        With a broadband Internet subscription","1,446,350","±4,963","88.1%","±0.2","2,617,889","±7,550","90.1%","±0.1"
